title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
0706,<?sfx=1챕터68 [비챤_] 음!>포션은 모든 포션을 파는 포션 상점을 엽니다.,기사버거,,,,,
0706,장비는 모든 장비를 파는 장비 상점을 엽니다.,,똥강아지,,,,
0706,"데이터 다시 불러오기는 Datas/ 디렉터리의 모든 파일의 변경사항, /debug/debugMapSetting.json의 ally 데이터의 변경사항을 게임에 적용합니다.",,,고세구,,,
0706,"전투는 /debug/debugMapSetting.json 의 ""enemy""에 있는 적들을 대상으로 전투합니다.",,300고세구,,,,
0706,"전투는 클릭시 /debug/debugMapSetting.json 의 ""enemy"" 값을 반영하므로 데이터 다시 불러오기를 누를 필요가 없습니다.",경비강아지,,,,,
0706,"이 파일의 ""enemy""와 ""ally"" Datas/Character 또는 Datas/enemies 에 있는 파일과 이름이 같아야 합니다.",,경호견,,,,
0706,enemy와 ally는 데이터 상 구별되지 않으므로 아군 캐릭터가 적이 되거나 적 캐릭터가 아군이 될 수 있습니다.,,,고릴라뢴트,,,
0706,enemy의 수는 제한이 없으나 ally는 필드 캐릭터 3명 서포터 3명을 넘어서는 안됩니다.,,기네스버거,,,,
0706,디버그 대화는 Dialogues/Scripts/0 - Debug.csv의 파일을 변경하여 원하는 대화를 출력할 수 있습니다.,기사버거,,,,,
0706,Dialogues/Scripts/ 의 파일들은 변경하면 인게임에 반영 되므로 마음껏 변경해 보실 수 있으나 이름을 변경해서는 안됩니다.,,다롱이,,,,
0706,디버그 대화는 변경 즉시 반영되므로 데이터 다시 불러오기를 하지 않으셔도 됩니다.,,,똥강아지,,,
0706,디버그 대화의 이미지는 Dialogues/Images에 있는 파일과 이름이 같아야 합니다.,,뢴트게늄,,,,
0706,Dialogues/Images의 파일들은 참고용이며 변경하셔도 반영되지 않습니다.,릴파,,,,,
0706,"이 맵은 새로운 대사의 테스트, 밸런싱 등을 위해 제작되었습니다.",,메이드버거,,,,
0706,감사합니다.,,,무,,,
