title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
??,버거님!! 버거님!! 정신차려보세요!!,,,,,,
기사버거,아으...<wiggle>머리야..</wiggle>,,기사버거,,,,
??,<slide>다행이다!</slide> 살아계셨군요! 야채를 수확하러 가는 길에 갑자기 큰 소리가 나서 와보니 버거님이 쓰러져 계셨어요..,,기사버거,,,,
기사버거,어!! 강아지가 말을해요!! 여기는 어디고 당신은 누구신데 저를 알고 계시죠?,,기사버거,,,,
??,"아이고, 안그래도 기억력이 안좋으신데..높은곳에서 떨어지시더니 기억까지...ㅠㅠ",,기사버거,,,,
기사버거,님 지금 저 맥이시는거임?,,기사버거,,,,
??,아이~ 농담입니다. 아무튼 저는 버거님의 방송정리를 담당하고 있는 징맘 강아지 입니다. 간단하게 징맘이라고 불러주시면 됩니다. 그리고 여기는 저희 마을 변방에 있는 숲입니다.,기사버거,,똥강아지,,,
기사버거,"아, 그렇군요..그리고 저 몸에 이 무거운 갑옷은 뭐죠..?",기사버거,,똥강아지,,,
징맘,저의 방송정리 빅데이터에 따르면 현재 모습은 기사버거님이시네요. 검술이 능통하고 정의로운 성격을 가지고 계셔서 불의를 보면 참지 못한다고 기록되어있네요.,기사버거,,똥강아지,,,
기사버거,그치만...저는 검술은 할 줄 모르는데요...?,기사버거,,똥강아지,,,
징맘,괜찮습니다. 버거님은 재능이 있으시니까 몇번 휘둘러보면 금방 몸이 기억할거예요! 그런 의미에서 야채 수확하시는 것 좀 도와주시겠어요?,기사버거,,똥강아지,,,
기사버거,야채 수확하는데 검술이랑 무슨 상관 이예요!,기사버거,,똥강아지,,,
징맘,"일단 같이 가보시면 알게되어있습니다! 자, 그럼 따라오ㅅ...ㅔ....어?",기사버거,,똥강아지,,,
기사버거,?? 왜 그러세요?,기사버거,,똥강아지,,,
, <?end=0>,,,,,,
