title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,휴..겨우 이겼네..비챤님은 어디 다친데는 없나요?,기사버거,,비챤,,,
비챤,<?sfx=1챕터59 [비챤_] 괜찮아 괜찮아>웅! 나는 괜찮아!,기사버거,,비챤,,,
기사버거,다행이네요! 고생하셨습니다.,기사버거,,비챤,,,
비챤,<?sfx=1챕터61 [비챤_] 고생했어>버건니도 고생했어! 다롱이는 괜찮을까?,기사버거,,비챤,,,
기사버거,일단 확인하러 가보죠...,기사버거,,비챤,,,
징맘,버거님...저...는....(꼴까닥),기사버거,,비챤,,,
기사버거,다롱아~다롱아~,기사버거,,비챤,,,
다롱이,삑-! 삑-!,기사버거,,비챤,,,
기사버거,다롱아!! 괜찮아?,기사버거,,비챤,,,
다롱이,삑-!,기사버거,,비챤,,,
비챤,<?sfx=1챕터68 [비챤_] 음!>상태를 보니 괜찮은거 같아!,기사버거,,비챤,,,
기사버거,다행이다..다롱아 마을로 돌아가자! 비챤님도 같이가시죠.,기사버거,,비챤,,,
비챤,<?sfx=1챕터70 [비챤_] 버건니 좋아>그래 언니~,기사버거,,비챤,,,
징맘,(후덜거리며) 제가 안내하겠습니다..,,똥강아지,,,,
