title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
징버거,아이고...두야...여기는..어디여...,,징버거,,,,
기사버거,오리지날 정신이 들어요?,기사버거,,징버거,,,
징버거,"어라..? 으악!! 누구세요!! 어..? 기사버거에 기네스 , 메이드 , 애송이 , 밥버거 에 해적까지...있네...?",기사버거,,징버거,,,
기네스버거,드디어 찾았구만! 상태를 보니 정신은 멀쩡한가보네!,기사버거,기네스버거,징버거,,,
징버거,아..맞다...나 납치됐었지...,기사버거,기네스버거,징버거,,,
애송이버거,띠용띠용!! 워익워익!!,,애송이버거,,,,
징버거,애송이는 뭐라는지...모르겠네..아무튼 걱정해주는 거겠지..?,,징버거,,,,
메이드버거,맞아요..다들 얼마나 걱정했는데요..,메이드버거,,징버거,,,
해적버거,저기..햄이네 박사..? 어쨌든 우리 하나로 돌아갈수는 있는거지..?,,해적버거,,,,
햄이네,지금 당장은 불가능하다네! 장치를 새로 만들어야하니!,해적버거,,햄이네,,,
기네스버거,이렇게 된건 햄이네 니 탓도 있으니까 어떻게든 빨리하면 되잖아!!,해적버거,기네스버거,햄이네,,,
햄이네,으악!! 괴롭히지 말라네!!,해적버거,기네스버거,햄이네,,,
징버거,기네스! 햄이네 너무 괴롭히지마..이렇게 된건 사실 내 잘못도 있는거니까..,,징버거,,,,
기사버거,오리지날은 납치 당한거 뿐이잖아요?,,기사버거,,,,
징버거,사실 옛날부터 들었던 생각인데...지금 너희들 모습처럼 내 안에 많은 나의 모습들이 있었잖아..?,,징버거,,,,
징버거,방송에서도 그렇고 사람들이 그런 부분적인 나의 모습만보고 좋아하는게 아닐까..?,,징버거,,,,
징버거,정작 본모습인 나는 별로 좋아하지 않는게 아닐까...? 하는 그런 생각에 모두 사라져버렸으면 한적도 있었지...,,징버거,,,,
햄이네,아하! 그럼 장치가 오작동을 한 이유도 설명이 가능하다네!,,햄이네,,,,
햄이네,원래는 인격들을 분리해서 다른 사람에게 넣을 생각이였다네! 근데 갑자기 오작동으로 버거들이 다 날라갔다네! ,,햄이네,,,,
햄이네,오리지날 징버거의 저런 마음이 장치 오작동을 불러일으킨거 같다네!,,햄이네,,,,
기네스버거,뭐야 그럼 우린 다른 누군가에게 흡수당할뻔 한거잖아?,,기네스버거,,,,
기사버거,오리지날이 하는 생각들은 무엇인지 다 알고있습니다. 저희도 결국 같은 사람(버거)이니까요.,,기사버거,,,,
기사버거,하지만! 똥강아지들은 물론이고 다른 사람들도 결국 본질(오리지날)인 당신을 좋아하고 있는게 맞습니다. ,,기사버거,,,,
기사버거,저희는 각자 모습도 조금씩 다르고 성격도 다르지만 모두 같은 징버거니까요!,,기사버거,,,,
징버거,기사버거...,기사버거,,징버거,,,
메이드버거,"맞아요! 이런 소심하고 용기없는 저이지만 이런 모습도, 기네스버거님 같이 화도 내고 급발진도 하는 모습도, 밥버거님 같은 열중하는 모습도, 애송이 같은 장난기 많은 모습도, 해적버거님 같은 호탕한 모습도요!",기사버거,메이드버거,징버거,,,
기사버거,맞습니다. 모두 다른 모습이지만 모두 한명의 당신인 것을 잊지 말아주세요.,기사버거,메이드버거,징버거,,,
징버거,애들아....미안해....흑흑..미안..미안해...흑흑,기사버거,메이드버거,징버거,,,
기사버거,괜찮습니다...,기사버거,메이드버거,징버거,,,
기사버거,햄이네님 저희가 하나로 돌아가려면 어떻게 해야할까요..?,,기사버거,,,,
햄이네,장치만 만들면된다네! 하지만 오래 걸릴것같네...무엇보다 아직 이 일의 진범을 아직 처리하지 못하지 않았나!,기사버거,,햄이네,,,
기네스버거,맞네..? 도대체 그 자식 누구야?,기사버거,기네스버거,햄이네,,,
징버거,"자기를 ""진짜"" 징버거...라고 불렀었어...",,징버거,,,,
기네스버거,아 설마...그 불쾌한...그 놈인가....,,기네스버거,,,,
햄이네,아무튼 이 길로 쭉가면 알현실이 나올거라네! 거기 있을거라네!,,햄이네,,,,
징버거,애들아 미안하지만 부탁할게..,,징버거,,,,
애송이버거,띠용띠용!,애송이버거,,징버거,,,
메이드버거,애송이가 맡겨달라네요 ㅎㅎ,애송이버거,메이드버거,징버거,,,
징버거,그리고 이거 가져가!,,징버거,,,,
,<?sfx=item>-징버거의 가호를 받았다!-,,,,,,
